id;edad;sexo;municipio;trabajo_actual;educación;tipo_universidad;tipo_dispositivo_rrss;top1_rrss;top2_rrss;top3_rrss;top4_rrss;top5_rrss;internet_fijo;calidad_internet_fijo;fallas_servicio;internet_fijo_positivo;internet_fijo_negativo;fallo_internet_reestablecimiento;tipo_empresa_internet_fijo;cambio_proveedor_reciente;medida_secundaria_fallo_internet_fijo;pago_internet_dolares;acceso_celular_rrss;calidad_navegacion_movil;navegacion_movil_positivo;navegacion_movil_negativo;fac1_ars;fac2_ars;fac3_ars;area_interperso;area_personal_corporal;fac1_bsq;fac2_bsq;fac3_bsq
100;18;Masculino;Municipio Libertador;No;Bachiller;Privada;Celular, Laptop (Portátil);Twitter;TikTok;Instagram;Facebook;Whatsapp;Sí;Regular hacia buena;Casi nunca;El servicio es barato;La navegación es muy lenta;El mismo día;Pública;No;Wifi o internet en el lugar de trabajo;No;Sí;Se ha mantenido igual;Los datos nunca se me acaban;Otro;-3,305663921;-0,901797156;0,361760733;-0,474689267;0,454145118;-1,053876054;-0,095079226;-0,415755172
101;22;Masculino;Municipio Sucre;Sí;Bachiller;Privada;Celular;Whatsapp;Twitter;TikTok;Instagram;Facebook;Sí;Buena;No;Siempre tengo internet;La navegación es muy lenta;El mismo día;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Navego sin problemas;Nunca tiene señal;2,544156056;0,902898371;1,077325343;1,316458867;0,7728973;-1,226539673;0,110327885;-0,922258775
102;23;Femenino;Municipio El Hatillo;No;Bachiller;Privada;Celular;Instagram;Twitter;Twitter;TikTok;Twitter;No;;;;;;;;;;;;;;0,475200075;-0,972210619;-1,555910471;-0,629124494;0,737023313;0,315077931;-0,148357534;-1,043012043
103;22;Femenino;Municipio Sucre;Sí;Bachiller;Privada;Celular, Laptop (Portátil);Instagram;Whatsapp;TikTok;Twitter;Facebook;Sí;Buena;Casi nunca;Otro;Otro;El mismo día;Privada;No;Wifi o internet en el lugar de trabajo;No;Sí;Ha empeorado;No lo considero positivo por ninguna de las razones anteriores;Navega muy lento;0,409369881;-0,791680003;-0,523362844;-1,009622176;0,779495003;-0,274509836;-0,442083384;1,597695228
104;19;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular, Tablet;Instagram;Twitter;Whatsapp;TikTok;Facebook;Sí;Regular hacia mala;Todos los días;El servicio es barato;La navegación es muy lenta;El mismo día;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;No lo considero positivo por ninguna de las razones anteriores;Los megas siempre se me acaban;-0,021272631;-0,852224821;-0,504954483;-1,188913461;0,739042338;-0,133508493;-0,244787673;1,83252871
105;18;Femenino;Municipio Sucre;No;Bachiller;Privada;Celular;Whatsapp;Instagram;TikTok;Twitter;Facebook;Sí;Regular hacia mala;Todos los días;El servicio es barato;La señal se cae constantemente;El mismo día;Pública;No;Con datos móviles;No;Sí;Se ha mantenido igual;Otro;Los megas siempre se me acaban;-0,366483984;-0,498435816;-0,179968854;0,729815299;-0,554907338;0,416269547;-0,726126912;1,551160418
106;20;Masculino;Municipio Baruta;No;Bachiller;Privada;Celular, Computadora Fija;Whatsapp;Instagram;TikTok;Twitter;Facebook;Sí;Buena;Casi nunca;Siempre atienden mis reclamos;El servicio es muy caro;El mismo día;Privada;No;Internet satelital;Sí;Sí;Se ha mantenido igual;No lo considero positivo por ninguna de las razones anteriores;Navega muy lento;-0,899413861;0,512005554;-0,832173688;0,60701122;0,569844315;-1,350922327;0,113848149;-0,794355857
107;23;Femenino;Municipio Sucre;No;Bachiller;Privada;Celular;Instagram;Whatsapp;Facebook;TikTok;Twitter;Sí;Regular hacia mala;Todos los días;Otro;La señal se cae constantemente;Entre 1 y 2 días;Privada;No;Dispositivo de Banda Ancha Móvil;No;Sí;Se ha mantenido igual;Navego sin problemas;Los megas son muy caros;0,30166141;0,18535105;-0,357372663;-1,830002544;-0,942990011;-0,116213454;-0,035102834;-1,309580645
108;21;Femenino;Municipio Baruta;Sí;Bachiller;Privada;Celular, Laptop (Portátil);Facebook;Whatsapp;Twitter;TikTok;Twitter;Sí;Buena;Casi nunca;Siempre tengo internet;Otro;El mismo día;Privada;Sí;Wifi o internet en el lugar de trabajo;Sí;Sí;Se ha mantenido igual;Navego sin problemas;Los megas son muy caros;-0,027732151;1,426511678;0,832132333;1,271976197;0,063224666;0,856411686;-1,536675005;0,844813402
109;23;Masculino;Municipio El Hatillo;No;Bachiller;Privada;Celular;Whatsapp;Twitter;Instagram;TikTok;Facebook;Sí;Muy buena;No;Nunca se me cae el internet;El servicio es muy caro;Entre 1 y 2 días;Privada;Sí;Dispositivo de Banda Ancha Móvil;Sí;Sí;Ha mejorado;Siempre tengo señal y datos;Los megas son muy caros;0,459564863;1,529522808;-0,060353143;1,318653311;0,122544283;0,305243238;-0,863786679;-0,118508337
110;20;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular;TikTok;Instagram;Whatsapp;Twitter;Facebook;Sí;Regular hacia buena;Casi nunca;Siempre tengo internet;La navegación es muy lenta;El mismo día;Privada;Sí;Dispositivo de Banda Ancha Móvil;Sí;Sí;Se ha mantenido igual;Navego sin problemas;Los megas siempre se me acaban;1,393749373;-0,047077329;0,419957875;-1,742982005;0,455409831;-0,27180704;-0,144804254;-0,820158982
111;21;Femenino;Municipio El Hatillo;Sí;Bachiller;Privada;Celular, Laptop (Portátil);Whatsapp;Instagram;Twitter;TikTok;Facebook;Sí;Buena;Casi nunca;Siempre tengo internet;El servicio es muy caro;El mismo día;Privada;No;Con datos móviles;Sí;Sí;Ha mejorado;Siempre tengo señal y datos;Los megas son muy caros;0,104158551;-0,009193534;0,335509891;-0,359991705;-0,147882182;2,403370337;-0,319615105;0,729367998
112;18;Femenino;Municipio Sucre;No;Bachiller;Privada;Celular, Tablet, Laptop (Portátil);Whatsapp;Twitter;TikTok;Instagram;Facebook;Sí;Regular hacia buena;Casi nunca;La navegación es rápida;La señal se cae constantemente;El mismo día;Privada;Sí;Con datos móviles;Sí;Sí;Ha mejorado;Otro;Los megas son muy caros;-1,267556223;-0,864435522;-0,38438544;0,932933853;0,296947567;-0,0141035;-0,833999398;0,705745479
113;24;Femenino;Municipio Libertador;No;Bachiller;Privada;Celular;Instagram;Twitter;Instagram;Facebook;Instagram;Sí;Regular hacia mala;Todos los días;Otro;Nunca tengo internet;Entre 1 y 2 días;Privada;No;Con datos móviles;No;Sí;Ha mejorado;Navego sin problemas;Los megas siempre se me acaban;-3,488188954;0,819016976;-0,814254485;0,443384282;-2,430207434;2,83289032;-0,211784017;-0,510211901
